"EntityId","Chart Label","Technology","Technology Subtype","Year","Official Program Number","Calculated LCOE","","Overnight Capital Cost dollar per kW including Contingency","Contingency Factor","Overnight Capital Cost dollar per kW","Final Capital Cost, $/kW","Discount Rate","Lifetime Years","Final Lifetime in Years","Capital Recovery Factor","Tax Rate","Present Value of Depreciation","Average Capacity Factor","Max Capacity Factor","Final Capacity Factor","LCOE Capital Cost Term","O M All-Inclusive","Fixed O M dollar per kW","Variable O M dollar per MWh","Calculated OM All Inclusive Cost Term ($/kW)","Calculated Fixed OM Term ($/kW)","Calculated Variable OM Term ($/kW)","LCOE OM Term","Fuel","Fuel Cost","Heat Rate","LCOD Fuel Cost Term","","Reference Name","Publication Year","Report Author(s)","Dataset name","Dataset web source"
"EntityId","TechIndex","Technology","TechnologySubtype","Year","IsOfficial","lcoe","Blank","OnghCptCstDlKwInclCtng","ContingencyFactor","OnghtCptlCostDolPerKw","FinalCptlCostDolPerKw","DiscountRate","LifetimeYears","FinalLifetimeYears","CapitalRecoveryFactor","TaxRate","PvOfDepreciation","AvgCapacityFactor","MaxCapacityFactor","FinalCapacityFactor","TermCapitalCost","OMAllInclusive","FixedOMDolPerKw","VariableOMDolPerMwh","OfficialOMAllInclusive","OfficialFixedOMDolPerKw","OfficialVariableOMDolPerMwh","TermOMCost","Fuel","FuelCost","HeatRate","TermFuelCost","Blank","ShortName","PublicationYear","Author","Title","PublicationUrl"
"Unique identifier for this data record.","Displayed label for the technology and sub-technology.","General type of technology used to generate electricity.","Technology Subtype.","Year.","Official Program Number.","Levelized cost of energy, an estimate of total electricity cost including payback of initial investment and operating costs. Also the price a plant must sell electricity at in order to break even.","","Overnight Capital Cost dollar per kW including Contingency.","Contingency Factor.","Initial cost of a generation technology per kilowatt of capacity, if it could be conducted overnight.","Final Capital Cost, $/kW.","Discount Rate is the assumed effective rate at which future income streams are discounted. Used to compute the capital recovery factor. In Normalized mode, a single discount rate is used. In Market and User modes, the discount rate can be different for each technology.","Lifetime Years.","Lifetime of the Investment. It is the assumed lifetime of a new plant/vehicle and the period over which the investment is computed (unless specified otherwise).","(CRF) A common element in the levelized cost calculations is capital expenditures. The capital expenditure is turned into annual payments with a Capital Recovery Factor (CRF) that is defined using a common calculation.","Tax rate paid (applied after depreciation credits).","The present value of depreciation, depending on the MACRS schedule (Modified Accelerated Cost Recovery System).","The ratio between average power and peak capacity. A plant running at full capacity for exactly half the year would have a 0.5 capacity factor.","Max Capacity Factor.","Final Capacity Factor.","Capital Cost term calculated in the LCOE equation","O M All-Inclusive.","Maintenance costs for generation paid regardless of the total amount generated.","Maintenance costs for generation paid per unit of energy produced.","Term calculated using the OM All Inclusive Cost - when used, this replaces the fixed and variable O&M costs ($/kW).","Term calculated using the Fixed OM ($/kW).","Term calculated using the Variable OM ($/kW).","Calculated term for all costs associated with OM (Operations and Maintenance).","Fuel.","Fuel Cost.","Heat Rate.","","","Reference Name.","Publication Year.","Report Author.","Dataset name.","Dataset web source."
"g29483","Nuclear","Nuclear","","2000","",0.059,"","","1","3102.91",3102.91,0.07,"30",30,0.080586403511111,0.392,0.59476,"0.9024","","0.9024",0.03989669434961,"","85.66","0.48","","","",0.011316146734026,"Uranium",0.76,"10400",0.007904,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g29484","Nuclear","Nuclear","","2001","",0.059,"","","1","3102.91",3102.91,0.07,"30",30,0.080586403511111,0.392,0.59476,"0.9024","","0.9024",0.03989669434961,"","85.66","0.48","","","",0.011316146734026,"Uranium",0.76,"10400",0.007904,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g29485","Nuclear","Nuclear","","2002","",0.059,"","","1","3102.91",3102.91,0.07,"30",30,0.080586403511111,0.392,0.59476,"0.9024","","0.9024",0.03989669434961,"","85.66","0.48","","","",0.011316146734026,"Uranium",0.76,"10400",0.007904,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g29486","Nuclear","Nuclear","","2003","",0.059,"","","1","3102.91",3102.91,0.07,"30",30,0.080586403511111,0.392,0.59476,"0.9024","","0.9024",0.03989669434961,"","85.66","0.48","","","",0.011316146734026,"Uranium",0.76,"10400",0.007904,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g29487","Nuclear","Nuclear","","2004","",0.059,"","","1","3102.91",3102.91,0.07,"30",30,0.080586403511111,0.392,0.59476,"0.9024","","0.9024",0.03989669434961,"","85.66","0.48","","","",0.011316146734026,"Uranium",0.76,"10400",0.007904,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g28009","Nuclear","Nuclear","","2005","",0.047,"","","1","2300",2300,0.07,"60",30,0.080586403511111,0.392,0.59476,"0.9","","0.9",0.029651874121211,"","64","1.8","","","",0.0099177067478437,"Uranium",0.76,"10340",0.0078584,"","MiniCAM 2008","2008","MiniCAM","Mini Climate Assessment Model (2008). Data from MiniCAM model, Pacific Northwest National Laboratory.",""
"g29488","Nuclear","Nuclear","","2005","",0.059,"","","1","3102.91",3102.91,0.07,"30",30,0.080586403511111,0.392,0.59476,"0.9024","","0.9024",0.03989669434961,"","85.66","0.48","","","",0.011316146734026,"Uranium",0.76,"10400",0.007904,"","Logan et al., 2008","2008","Logan et al","National Renewable Energy Laboratory - Strategic Energy Analysis Center (2008). Data from Regional Energy Deployment System (ReEDS) model, National Renewable Energy Laboratory.","http://www.nrel.gov/docs/fy09osti/45161.pdf "
"g28010","Nuclear","Nuclear","","2006","",0.047,"","","1","2297.72",2297.72,0.07,"60",30,0.080586403511111,0.392,0.59476,"0.9","","0.9",0.029622480089474,"","64","1.8","","","",0.0099177067478437,"Uranium",0.76,"10319",0.00784244,"","MiniCAM 2008","2008","MiniCAM","Mini Climate Assessment Model (2008). Data from MiniCAM model, Pacific Northwest National Laboratory.",""
